,fips,state_caller,percent_fair_or_poor_health,95percent_ci_low_2,95percent_ci_high_2,average_number_of_physically_unhealthy_days,95percent_ci_low_3,95percent_ci_high_3,average_number_of_mentally_unhealthy_days,95percent_ci_low_4,95percent_ci_high_4,percent_smokers,95percent_ci_low_6,95percent_ci_high_6,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,95percent_ci_low_9,95percent_ci_high_9,num_some_college,population,percent_some_college,num_associations,social_association_rate,percent_severe_housing_problems,95percent_ci_low_17,95percent_ci_high_17,percent_frequent_physical_distress,95percent_ci_low_24,95percent_ci_high_24,percent_frequent_mental_distress,95percent_ci_low_25,95percent_ci_high_25,percent_adults_with_diabetes,num_food_insecure,percent_food_insecure,percent_insufficient_sleep,95percent_ci_low_29,95percent_ci_high_29,average_traffic_volume_per_meter_of_major_roadways,num_homeowners,percent_homeowners,95percent_ci_low_37,95percent_ci_high_37,population_2,percent_less_than_18_years_of_age,percent_65_and_over,num_black,percent_black,num_american_indian_alaska_native,percent_american_indian_alaska_native,num_asian,percent_asian,num_native_hawaiian_other_pacific_islander,percent_native_hawaiian_other_pacific_islander,num_hispanic,percent_hispanic,num_non_hispanic_white,percent_non_hispanic_white,num_not_proficient_in_english,percent_not_proficient_in_english,percent_female,date,county,state_other,cases,deaths
1,1001,Alabama,20.882987328,20.252254952999998,21.499177864,4.7438888672,4.5643318577,4.9162721984,4.6540313965,4.464817302,4.8394708536,18.08155718,17.452458964,18.690260675999998,33.3,34.7,15.026031257,14.401735659000002,15.724677440999999,8953,14438,62.009973681000005,67,12.071202075999999,14.663461538,11.938794659000001,17.388128417,13.685228616,13.315224449,14.047619464,14.129346649,13.763566051,14.485803880999999,11.1,7270,13.2,35.905406064,34.973935584,36.848227089,88.457040416,15814,74.894624674,72.625135464,77.164113885,55601,23.67403464,15.562669735999998,10755,19.343177281,267,0.4802071905,681,1.2247981151,62,0.1115087858,1649,2.9657739969,41316,74.308016043,426,0.8202245028,51.44871495100001,2020-04-27,Autauga,Alabama,39.0,3.0
2,1003,Alabama,17.50913436,17.024151866,18.017700855,4.2245192015,4.075200162,4.3814206789,4.3040564688,4.1334827489,4.4682402726,17.489032597,16.955331357000002,18.06052929,31.0,26.5,17.958310103,17.349863189,18.590786533,32812,48703,67.371619818,217,10.205617322,13.566200931,12.344882425,14.787519438,12.480107670999999,12.14924471,12.840123459,13.475335559000001,13.131780933,13.819904807,10.7,23560,11.6,33.305868141,32.488376508,34.07779246,86.997429882,57881,73.61934318600001,72.43306669,74.805619682,218022,21.607911128,20.443349754,19151,8.783975929,1684,0.7723991157,2508,1.150342626,146,0.0669657191,10131,4.646778765400001,181201,83.111337388,1068,0.5435169824,51.538376861,2020-04-27,Baldwin,Alabama,168.0,3.0
3,1005,Alabama,29.591801708000002,28.798921974000002,30.394656071999997,5.4302788594,5.2514624599,5.602304010599999,5.1855944125,5.0103606441,5.3558264816,21.999984528000002,21.345379081,22.678543264,41.7,23.5,12.844015554,12.303890302000001,13.32762593,2363,6779,34.857648620999996,19,7.5187969925,14.583333332999999,12.277852012,16.888814655,17.184897504000002,16.776056995999998,17.596277459,16.586252209,16.222807298,16.941228424000002,17.6,5760,22.0,38.563167125,37.695440790999996,39.500889374,102.29176221,5640,61.397779228999994,58.465662901,64.329895557,24881,20.867328484,19.420441301,11951,48.032635344,164,0.6591374945,113,0.4541618102,46,0.1848800289,1064,4.276355452,11356,45.64125236100001,398,1.6316825189,47.216751738,2020-04-27,Barbour,Alabama,35.0,0.0
4,1007,Alabama,19.439724157,18.76275237,20.072078335,4.5914824378,4.4072227747,4.7690544954,4.5516988486,4.3573383143,4.7344005618,19.114199885,18.43764483,19.761352954,37.6,33.5,15.570042367000001,14.911346715999999,16.211707275,2635,5970,44.137353434,19,8.3818598906,10.496453901,6.9295300566,14.063377745,13.626575492999999,13.232727438,14.006114428,14.017536352999999,13.65354835,14.363611639,14.5,3240,14.3,38.1488654,37.130866047,39.194436343,29.335580010999998,5135,75.073099415,71.069834325,79.076364506,22400,20.477678571,16.473214285999997,4731,21.120535714000003,98,0.4375,53,0.23660714289999998,26,0.1160714286,588,2.625,16708,74.589285714,57,0.2682100508,46.78125,2020-04-27,Bibb,Alabama,42.0,0.0
5,1009,Alabama,21.745292814000003,21.013006941,22.537024725,4.8608076303,4.6572626615,5.0643025992,4.8914546677,4.6819969107,5.1048905186,19.20867197,18.501225748,19.990012785,33.8,30.3,14.230593827,13.561872574,14.975051875,7438,13939,53.361073248000004,49,8.4463827073,10.548011639,8.635021261799999,12.461002017,14.523164345,14.076319608,15.000781912999999,14.859270834,14.423025758,15.296289427,17.0,6140,10.7,35.945010419,34.779263871,37.072597547,33.411781963,16197,78.626213592,76.40793491699999,80.84449226699999,57840,23.153526970999998,18.236514523,846,1.4626556016999999,378,0.653526971,185,0.3198478562,70,0.12102351310000001,5536,9.571230982000001,50255,86.88623789799999,934,1.7245199409,50.726141078999994,2020-04-27,Blount,Alabama,34.0,0.0
6,1011,Alabama,30.999101851,30.142454555,31.981108055,5.3591593432,5.1711463556,5.551147601699999,4.8913510426,4.7042463549,5.095464571,22.894664011,22.140067375,23.686521455999998,37.2,24.6,12.094101229000001,11.550579875,12.66169294,951,2719,34.976094151999995,8,7.7602095257000006,18.143459915999998,12.408004082,23.878915749,16.880968518,16.45380489,17.359289326,15.85477602,15.469903837,16.260941069,23.7,2600,24.8,45.020635868999996,43.903511897,46.194226668999995,4.0665381995,2726,75.53338875,70.47759863600001,80.589178865,10138,21.079108305,16.38390215,7050,69.540343263,85,0.8384296705,19,0.1874136911,76,0.7496547643000001,807,7.960149931,2151,21.217202604,43,0.4407544075,45.482343658000005,2020-04-27,Bullock,Alabama,12.0,0.0
7,1013,Alabama,27.910673184,27.126924675,28.673715098000002,5.4008061965,5.2272240424000005,5.5721734439,5.340750195,5.1578788539,5.522229278099999,21.765334963,21.094334740999997,22.409678276999998,43.3,39.5,11.85740343,11.402949494000001,12.339053963,2011,4825,41.678756477,18,9.079445145,13.159609120999999,10.652291041,15.6669272,16.696707392,16.269919077,17.123177687000002,16.915363871,16.529871564,17.313253965,19.2,4160,20.6,41.911083901,40.972721052,42.883372365,19.311067904,4692,69.94633273699999,67.624087304,72.26857817,19680,22.245934959,20.299796748,8769,44.557926828999996,74,0.3760162602,259,1.3160569106,10,0.050813008099999994,297,1.5091463415000002,10087,51.255081301000004,93,0.49415515409999994,53.429878048999996,2020-04-27,Butler,Alabama,34.0,1.0
8,1015,Alabama,23.107733221,22.537550979000002,23.681983866,4.8803767403,4.7168062965,5.0448248202,4.8160722877,4.6448653825,4.9908375543,20.612560375,20.041157873,21.184707107999998,38.5,31.7,13.842230147,13.336273296,14.402216888,17099,28862,59.243988636000005,166,14.469004950999999,13.734191258,12.373558736,15.09482378,14.75440129,14.391733152999999,15.127114161,15.191507387,14.856087614000002,15.538285743,17.5,18100,15.7,41.314343982,40.462194546999996,42.14073751,109.89916308,31286,69.473497213,68.282698813,70.66429561300001,114277,21.609772745,17.717475957999998,23827,20.850214829000002,617,0.5399161686,1102,0.9643235297,126,0.1102584072,4469,3.9106731888,82308,72.024991906,1076,0.9913761333,51.946585927,2020-04-27,Calhoun,Alabama,90.0,3.0
9,1017,Alabama,23.995473603,23.346326293,24.707070928,4.9411783568,4.7839847928,5.1016803409,4.8735807661,4.709000237,5.0412331262,19.392927053,18.828427602999998,20.015271136,40.1,30.1,12.745734617,12.262922994,13.262548123,3714,7664,48.460334028999995,60,17.79728888,15.956678699999998,13.369102623,18.544254778,15.247787308,14.872246241,15.645656645,15.49667308,15.159088804000001,15.841462260999998,19.9,6070,17.9,37.266574786999996,36.386735034000004,38.244059598,20.271586909,9159,67.7641314,65.049068882,70.479193918,33615,20.800237989,19.521047152,13300,39.565670088000005,103,0.3064108285,446,1.3267886359999999,15,0.0446229362,861,2.5613565373,18566,55.231295553,36,0.1129376333,52.125539194,2020-04-27,Chambers,Alabama,289.0,18.0
10,1019,Alabama,20.698470599,19.940878206,21.461843733,4.7756141013999995,4.5511482636,4.987878428999999,4.7112704225,4.4719774403,4.9382372604,17.498673785,16.780789762,18.198886787,35.0,31.3,14.106562852,13.442777682000001,14.780517137,2823,5446,51.836210062,22,8.5083343002,13.0,10.177231607000001,15.822768392999999,14.36571083,13.924078929,14.817601681,14.677941447,14.254050969000001,15.108331930999999,15.2,3230,12.5,35.35507081,34.105025765,36.540063957,25.908887044,8374,78.955308316,75.723527948,82.187088684,26032,19.168715427000002,22.971727105,1104,4.2409342348,172,0.6607252612,88,0.3380454825,8,0.0307314075,422,1.6210817455000002,23860,91.65642286399999,99,0.4016390117,50.460971111999996,2020-04-27,Cherokee,Alabama,14.0,0.0
