,state,county,Risk,county,,,,0
0,Alabama,Autauga,0.529273987,Autauga,,,,0.529273987
1,Alabama,Baldwin,0.595607877,Baldwin,,,,0.595607877
2,Alabama,Barbour,0.601465762,Barbour,,,,0.601465762
3,Alabama,Bibb,0.632182777,Bibb,,,,0.632182777
4,Alabama,Blount,0.606040716,Blount,,,,0.606040716
5,Alabama,Bullock,0.759678125,Bullock,,,,0.759678125
6,Alabama,Butler,0.716348231,Butler,,,,0.716348231
7,Alabama,Calhoun,0.677526414,Calhoun,,,,0.677526414
8,Alabama,Chambers,0.63446337,Chambers,,,,0.63446337
9,Alabama,Cherokee,0.650936306,Cherokee,,,,0.650936306
10,Alabama,Chilton,0.548425138,Chilton,,,,0.548425138
11,Alabama,Choctaw,0.702444851,Choctaw,,,,0.702444851
12,Alabama,Clarke,0.731396139,Clarke,,,,0.731396139
13,Alabama,Clay,0.581304729,Clay,,,,0.581304729
14,Alabama,Cleburne,0.523245871,Cleburne,,,,0.523245871
15,Alabama,Coffee,0.593226194,Coffee,,,,0.593226194
16,Alabama,Colbert,0.622769058,Colbert,,,,0.622769058
17,Alabama,Conecuh,0.791535378,Conecuh,,,,0.791535378
18,Alabama,Coosa,0.718119264,Coosa,,,,0.718119264
19,Alabama,Covington,0.589460254,Covington,,,,0.589460254
20,Alabama,Crenshaw,0.652680874,Crenshaw,,,,0.652680874
21,Alabama,Cullman,0.595156848,Cullman,,,,0.595156848
22,Alabama,Dale,0.642875671,Dale,,,,0.642875671
23,Alabama,Dallas,0.66275847,Dallas,,,,0.66275847
24,Alabama,DeKalb,0.479008526,DeKalb,,,,0.479008526
25,Alabama,Elmore,0.614472091,Elmore,,,,0.614472091
26,Alabama,Escambia,0.64621675,Escambia,,,,0.64621675
27,Alabama,Etowah,0.675700545,Etowah,,,,0.675700545
28,Alabama,Fayette,0.743197024,Fayette,,,,0.743197024
29,Alabama,Franklin,0.519933581,Franklin,,,,0.519933581
30,Alabama,Geneva,0.635043561,Geneva,,,,0.635043561
31,Alabama,Greene,0.734227777,Greene,,,,0.734227777
32,Alabama,Hale,0.707261562,Hale,,,,0.707261562
33,Alabama,Henry,0.685469508,Henry,,,,0.685469508
34,Alabama,Houston,0.590843916,Houston,,,,0.590843916
35,Alabama,Jackson,0.641932309,Jackson,,,,0.641932309
36,Alabama,Jefferson,0.575541496,Jefferson,,,,0.575541496
37,Alabama,Lamar,0.712280214,Lamar,,,,0.712280214
38,Alabama,Lauderdale,0.591149211,Lauderdale,,,,0.591149211
39,Alabama,Lawrence,0.677908182,Lawrence,,,,0.677908182
40,Alabama,Lee,0.470864058,Lee,,,,0.470864058
